stock_locate,tracking_number,timestamp,order_reference_number,executed_shares,match_number,printable,execution_price
7603,1,0 days 09:28:06.523596953,9489356,100,50460,0,41800
3672,1,0 days 09:30:00.000995068,5674522,54,53496,0,404300
4462,1,0 days 09:30:00.009821572,5500734,100,53722,0,536200
4462,3,0 days 09:30:00.009821572,5500738,100,53724,0,536200
4462,4,0 days 09:30:00.009821572,5500742,100,53725,0,536200
393,1,0 days 09:30:00.021670510,6443605,900,53829,0,18740000
330,1,0 days 09:30:00.021847743,7852613,64,53831,0,125400
6681,2,0 days 09:30:00.067161392,7506259,83,57670,0,2114400
6118,2,0 days 09:30:00.069275183,7545287,100,57715,1,393000
3843,1,0 days 09:30:00.069618102,5364118,100,57717,0,7050
835,2,0 days 09:30:00.078641125,7696217,331,57956,0,537400
4987,1,0 days 09:30:00.079846931,5369091,423,58052,0,2750
4987,2,0 days 09:30:00.079846931,5757887,277,58053,0,2750
8191,1,0 days 09:30:00.088910952,9896248,40,59197,0,330900
4040,1,0 days 09:30:00.089856722,3668562,150,59301,0,3700
4040,2,0 days 09:30:00.089856722,3668566,4,59302,0,3700
4873,1,0 days 09:30:00.092891065,4997931,200,59803,0,11000
4873,2,0 days 09:30:00.092891065,5158203,2,59804,0,11000
4873,3,0 days 09:30:00.092891065,5536495,50,59805,0,11000
4534,1,0 days 09:30:00.097161992,5671426,93,59876,0,163000
3450,1,0 days 09:30:00.100249396,5671062,370,60008,0,57900
4616,1,0 days 09:30:00.102788532,5587026,100,60295,0,4600
4175,1,0 days 09:30:00.104031426,4415362,400,60519,0,239000
5747,1,0 days 09:30:00.104456406,7505055,49,60585,0,585600
1736,1,0 days 09:30:00.108544288,7853209,14,61655,0,478700
5686,2,0 days 09:30:00.108576242,7563231,200,61689,1,336500
3594,1,0 days 09:30:00.108900177,2697994,2,61787,0,135000
5274,1,0 days 09:30:00.110694525,7506935,2194,62367,0,266000
8052,1,0 days 09:30:00.114877743,9897728,229,63348,0,550400
4105,1,0 days 09:30:00.117819020,5672534,47,63848,0,3322500
7480,1,0 days 09:30:00.118721621,7193544,5,63893,0,15000
7480,2,0 days 09:30:00.118721621,8379240,600,63894,0,15000
5290,1,0 days 09:30:00.119374057,7503267,26,63971,0,633700
7956,1,0 days 09:30:00.120296501,8673184,762,64042,0,8580
4655,1,0 days 09:30:00.120698213,5672426,21,64082,0,339900
5241,1,0 days 09:30:00.121232303,7502811,52,64179,0,220200
2133,1,0 days 09:30:00.125286726,5521861,10,64943,0,33000
2133,2,0 days 09:30:00.125286726,7455889,20,64944,0,33000
8774,1,0 days 09:30:00.127524430,9895716,220,65075,0,146000
681,1,0 days 09:30:00.127781108,5960817,2,65081,0,11100
4689,1,0 days 09:30:00.128591280,3754730,136,65128,0,37300
4806,1,0 days 09:30:00.130661307,6490559,2,65297,0,15200
514,1,0 days 09:30:00.130885084,6330141,100,65333,0,5600
2128,1,0 days 09:30:00.131426785,7823993,100,65403,0,149500
2128,2,0 days 09:30:00.131426785,7824001,300,65404,0,149500
2128,3,0 days 09:30:00.131426785,7687133,300,65405,0,149500
2128,4,0 days 09:30:00.131426785,7687225,100,65406,0,149500
2128,6,0 days 09:30:00.131426785,7687221,100,65408,0,149500
2128,11,0 days 09:30:00.131426785,7688849,131,65413,0,149500
7714,1,0 days 09:30:00.132612743,9895464,227,65643,0,64500
91,3,0 days 09:30:00.133706775,7851977,348,65871,0,100600
2935,1,0 days 09:30:00.136850736,4072782,1,66596,0,33400
7913,1,0 days 09:30:00.137536048,9895616,5,66867,0,130400
5546,1,0 days 09:30:00.141476892,7505887,294,67219,0,216100
7459,1,0 days 09:30:00.144873824,9859548,900,67335,0,281600
7459,2,0 days 09:30:00.144873824,9859576,1736,67336,0,281600
3425,1,0 days 09:30:00.148255317,5445106,300,67529,0,203600
3425,2,0 days 09:30:00.148255317,5361726,60,67530,0,203600
4088,1,0 days 09:30:00.150572931,3821642,10,68169,0,23100
6118,2,0 days 09:30:00.155334844,7567095,100,68367,1,392900
8705,1,0 days 09:30:00.155624679,7346120,130,68381,0,22400
912,1,0 days 09:30:00.158028704,5638941,10,68643,0,12200
8111,1,0 days 09:30:00.159050209,9896040,42,68665,0,524200
1414,1,0 days 09:30:00.159401719,7853961,129,68703,0,160200
6514,1,0 days 09:30:00.161496207,7503103,8,68769,0,512200
5923,1,0 days 09:30:00.161712026,7503147,306,68773,0,79300
7068,1,0 days 09:30:00.162466858,7505827,4767,68784,0,85300
3791,1,0 days 09:30:00.165587060,5672690,126,68891,0,149000
7510,1,0 days 09:30:00.166248607,7963756,42,68941,0,99700
8169,1,0 days 09:30:00.173259563,9897288,190,69511,0,80800
2192,1,0 days 09:30:00.174222541,7852873,874,69617,0,60000
1366,3,0 days 09:30:00.178642543,7851981,193,70314,0,59000
2747,1,0 days 09:30:00.179108119,5671798,14,70443,0,401200
1437,1,0 days 09:30:00.179684007,7829017,1033,70603,0,302000
4865,1,0 days 09:30:00.181072590,5597435,93,70955,0,3500
3094,1,0 days 09:30:00.181317329,5671010,2,71036,0,629400
3973,1,0 days 09:30:00.181826215,2520042,200,71208,0,338600
1340,1,0 days 09:30:00.181949672,7686877,100,71242,0,265600
1340,2,0 days 09:30:00.181949672,7686881,34,71243,0,265600
2926,2,0 days 09:30:00.182815749,5511438,100,71409,0,253200
7673,1,0 days 09:30:00.187080800,9895984,202,72185,0,69100
75,1,0 days 09:30:00.192675353,7916105,200,73895,0,26600
75,2,0 days 09:30:00.192675353,7916325,700,73896,0,26600
6360,1,0 days 09:30:00.201645286,5120279,1,75753,0,85800
736,1,0 days 09:30:00.204275419,7853501,42,76555,0,369400
5197,2,0 days 09:30:00.206034393,5616715,500,76980,0,14100
4090,1,0 days 09:30:00.206296542,5671978,22,77022,0,281700
105,1,0 days 09:30:00.207218596,7695237,100,77216,0,446100
105,2,0 days 09:30:00.207218596,7695241,100,77217,0,446100
105,3,0 days 09:30:00.207218596,7789601,100,77218,0,446100
105,4,0 days 09:30:00.207218596,7789605,100,77219,0,446100
201,1,0 days 09:30:00.207992553,7392513,1,77234,0,47200
1195,1,0 days 09:30:00.208635142,6016901,2,77249,0,166100
1764,1,0 days 09:30:00.210243258,7855633,266,77285,0,2690500
7711,2,0 days 09:30:00.211142984,8406620,1750,77306,0,23500
3035,1,0 days 09:30:00.211291244,5673186,234,77312,0,260100
7828,2,0 days 09:30:00.213497615,6565132,100,77382,0,35400
4191,2,0 days 09:30:00.214703037,5672850,183,77409,0,143300
198,1,0 days 09:30:00.214974759,5616281,47,77415,0,23400
198,2,0 days 09:30:00.214974759,5616285,20,77416,0,23400
198,3,0 days 09:30:00.214974759,5616289,200,77417,0,23400
198,4,0 days 09:30:00.214974759,5853793,200,77418,0,23400
8386,1,0 days 09:30:00.224842051,7540352,3,77733,0,82900
7974,1,0 days 09:30:00.229916859,7520108,2,77916,0,363000
5686,2,0 days 09:30:00.230034516,7563231,240,77922,1,336500
3614,1,0 days 09:30:00.240124916,5673430,366,81028,0,256700
7225,1,0 days 09:30:00.243648019,9953804,250,82800,0,521600
7875,1,0 days 09:30:00.244527192,8670928,7,83130,0,12800
8697,3,0 days 09:30:00.247386906,9864920,50,84264,0,104600
8697,4,0 days 09:30:00.247386906,9760540,57,84265,0,104600
8665,1,0 days 09:30:00.250660794,9895608,435,84974,0,65200
5201,1,0 days 09:30:00.252272243,6042795,47,85395,0,200000
6254,1,0 days 09:30:00.254177454,7502611,77,86270,0,82700
5841,1,0 days 09:30:00.257267981,7503643,205,86694,0,149600
7850,1,0 days 09:30:00.258064399,7448308,2,86717,0,53700
6441,2,0 days 09:30:00.258382507,7430919,100,86724,0,27000
6441,3,0 days 09:30:00.258382507,3814759,290,86725,0,27000
6441,4,0 days 09:30:00.258382507,7434315,1385,86726,0,27000
5773,1,0 days 09:30:00.259789152,6850355,300,86768,0,19000
4811,1,0 days 09:30:00.261411918,7438407,700,86807,0,4200
1419,1,0 days 09:30:00.262771521,7854077,811,86838,0,181500
6520,1,0 days 09:30:00.262825204,7439195,1000,86844,0,249700
6520,2,0 days 09:30:00.262825204,7507023,1973,86845,0,249700
293,1,0 days 09:30:00.263931037,5617733,47,86875,0,10500
2699,1,0 days 09:30:00.264076499,5672994,1374,86881,0,73400
4249,1,0 days 09:30:00.265118558,5673690,155,86923,0,119800
3777,1,0 days 09:30:00.267278600,3663518,25,86976,0,29000
7479,5,0 days 09:30:00.267726430,9842348,3797,86995,0,155000
7479,6,0 days 09:30:00.267726430,9842340,4200,86996,0,155000
5756,2,0 days 09:30:00.269265682,3345947,128,87065,0,251800
2166,1,0 days 09:30:00.269521927,7854245,692,87071,0,140200
3047,2,0 days 09:30:00.273588588,5443846,425,87161,0,24000
3047,3,0 days 09:30:00.273588588,4058754,100,87162,0,24000
3047,4,0 days 09:30:00.273588588,4281894,300,87163,0,24000
3047,5,0 days 09:30:00.273588588,4393042,700,87164,0,24000
2464,1,0 days 09:30:00.273787170,5674306,29,87172,0,506900
1784,1,0 days 09:30:00.274626069,7852117,306,87205,0,85000
1784,2,0 days 09:30:00.274626069,7852125,96,87206,0,85000
6179,1,0 days 09:30:00.275270430,6097735,1000,87223,0,11700
406,1,0 days 09:30:00.275966494,7830901,300,87243,0,298600
406,2,0 days 09:30:00.275966494,7801317,400,87244,0,298600
406,3,0 days 09:30:00.275966494,7801321,400,87245,0,298600
406,4,0 days 09:30:00.275966494,7801329,400,87246,0,298600
406,6,0 days 09:30:00.275966494,7801333,77,87248,0,298600
1253,1,0 days 09:30:00.276348981,5647169,1,87260,0,213300
6397,1,0 days 09:30:00.277307403,7507019,22,87282,0,807300
1013,1,0 days 09:30:00.277317225,7852665,48,87285,0,165500
2802,1,0 days 09:30:00.277892307,73778,10,87303,0,261400
1716,1,0 days 09:30:00.279372058,7855189,179,87361,0,660000
6362,1,0 days 09:30:00.279917884,7502879,95,87378,0,94000
3702,2,0 days 09:30:00.280559256,5811006,100,87395,1,16000
4283,2,0 days 09:30:00.281263796,5347202,20,87421,0,46000
4468,2,0 days 09:30:00.283759864,5811990,85,87473,1,422000
6109,1,0 days 09:30:00.284097903,7504339,652,87477,0,231200
